,Country,Freedom to make life choices,GDP per Capita,GDP per capita,Generosity,Government Trust,Happiness Rank,Happiness Score,Life Expectancy,Social support,Year
0,Switzerland,0.66557,1.3965100000000001,,0.29678000000000004,0.41978000000000004,1,7.587000000000001,0.9414299999999999,1.34951,2015
1,Iceland,0.6287699999999999,1.3023200000000001,,0.4363,0.14145,2,7.561,0.94784,1.4022299999999999,2015
2,Denmark,0.6493800000000001,1.32548,,0.34139,0.48357,3,7.527,0.87464,1.36058,2015
3,Norway,0.66973,1.459,,0.34699,0.36503,4,7.522,0.88521,1.33095,2015
4,Canada,0.63297,1.32629,,0.45811,0.32957,5,7.4270000000000005,0.9056299999999999,1.32261,2015
5,Finland,0.64169,1.29025,,0.23351,0.41372,6,7.406000000000001,0.8891100000000001,1.31826,2015
6,Netherlands,0.6157600000000001,1.32944,,0.4761,0.31814000000000003,7,7.377999999999999,0.89284,1.28017,2015
7,Sweden,0.6598,1.33171,,0.36262,0.43843999999999994,8,7.364,0.9108700000000001,1.2890700000000002,2015
8,New Zealand,0.6393800000000001,1.2501799999999998,,0.47501000000000004,0.42922,9,7.2860000000000005,0.9083700000000001,1.3196700000000001,2015
9,Australia,0.6512399999999999,1.33358,,0.43562,0.35636999999999996,10,7.284,0.93156,1.30923,2015
10,Israel,0.41318999999999995,1.2285700000000002,,0.33171999999999996,0.07785,11,7.278,0.9138700000000001,1.22393,2015
11,Costa Rica,0.63376,0.95578,,0.25497,0.10583,12,7.226,0.8602700000000001,1.2378799999999999,2015
12,Austria,0.62433,1.33723,,0.33088,0.18675999999999998,13,7.2,0.8904200000000001,1.29704,2015
13,Mexico,0.48181,1.02054,,0.14074,0.21311999999999998,14,7.187,0.8144399999999999,0.91451,2015
14,United States,0.54604,1.3945100000000001,,0.40105,0.1589,15,7.119,0.86179,1.24711,2015
15,Brazil,0.49049,0.98124,,0.14574,0.17521,16,6.983,0.69702,1.2328700000000001,2015
16,Luxembourg,0.61583,1.5639100000000001,,0.28034000000000003,0.37798000000000004,17,6.946000000000001,0.91894,1.21963,2015
17,Ireland,0.6177699999999999,1.33596,,0.45901000000000003,0.28703,18,6.94,0.89533,1.36948,2015
18,Belgium,0.5845,1.30782,,0.2225,0.2254,19,6.937,0.8966700000000001,1.28566,2015
19,United Arab Emirates,0.64157,1.42727,,0.26428,0.38583,20,6.901,0.80925,1.12575,2015
20,United Kingdom,0.59625,1.26637,,0.51912,0.32066999999999996,21,6.867000000000001,0.90943,1.28548,2015
21,Oman,0.63274,1.36011,,0.21541999999999997,0.32524000000000003,22,6.853,0.76276,1.08182,2015
22,Venezuela,0.42908,1.04424,,0.058410000000000004,0.11069000000000001,23,6.81,0.7205199999999999,1.25596,2015
23,Singapore,0.54252,1.52186,,0.31105,0.4921,24,6.797999999999999,1.02525,1.02,2015
24,Panama,0.5421,1.0635299999999999,,0.24434,0.0927,25,6.7860000000000005,0.79661,1.1985,2015
25,Germany,0.6147699999999999,1.32792,,0.28214,0.21843,26,6.75,0.89186,1.2993700000000001,2015
26,Chile,0.44132,1.10715,,0.33363000000000004,0.12869,27,6.67,0.85857,1.12447,2015
27,Qatar,0.6404,1.69042,,0.32573,0.52208,28,6.611000000000001,0.79733,1.0786,2015
28,France,0.55011,1.27778,,0.12332,0.20646,29,6.575,0.9457899999999999,1.2603799999999998,2015
29,Argentina,0.44974,1.05351,,0.11450999999999999,0.08484,30,6.574,0.78723,1.24823,2015
30,Czech Republic,0.46363999999999994,1.17898,,0.10686,0.02652,31,6.505,0.84483,1.20643,2015
31,Uruguay,0.6036199999999999,1.06166,,0.2324,0.24558000000000002,32,6.485,0.8116,1.2089,2015
32,Colombia,0.53466,0.91861,,0.18400999999999998,0.0512,33,6.477,0.69077,1.2401799999999998,2015
33,Thailand,0.5566399999999999,0.9669,,0.5763,0.031869999999999996,34,6.455,0.7385,1.26504,2015
34,Saudi Arabia,0.31048000000000003,1.39541,,0.13706,0.32524000000000003,35,6.4110000000000005,0.72025,1.0839299999999998,2015
35,Spain,0.45951000000000003,1.23011,,0.18227000000000002,0.06398,36,6.329,0.95562,1.31379,2015
36,Malta,0.60365,1.2074,,0.51752,0.13585999999999998,37,6.3020000000000005,0.88721,1.30203,2015
37,Taiwan,0.3974,1.29098,,0.25376,0.08129,38,6.297999999999999,0.8753,1.07617,2015
38,Kuwait,0.55499,1.5542200000000002,,0.16228,0.25609,39,6.295,0.72492,1.16594,2015
39,Suriname,0.5965699999999999,0.99534,,0.16990999999999998,0.13633,40,6.269,0.6082,0.972,2015
40,Trinidad and Tobago,0.55884,1.21183,,0.31844,0.0114,41,6.167999999999999,0.61483,1.18354,2015
41,El Salvador,0.4035,0.76454,,0.10692,0.11775999999999999,42,6.13,0.67737,1.0250700000000001,2015
42,Guatemala,0.57733,0.74553,,0.27489,0.09472,43,6.122999999999999,0.64425,1.04356,2015
43,Uzbekistan,0.6582100000000001,0.63244,,0.22837,0.30826,44,6.002999999999999,0.59772,1.34043,2015
44,Slovakia,0.31751,1.1689100000000001,,0.16893,0.03431,45,5.995,0.7890199999999999,1.26999,2015
45,Japan,0.49615,1.27074,,0.10705,0.1806,46,5.987,0.99111,1.25712,2015
46,South Korea,0.33208000000000004,1.24461,,0.18557,0.07857,47,5.984,0.9653799999999999,0.9577399999999999,2015
47,Ecuador,0.48573999999999995,0.8640200000000001,,0.11540999999999998,0.1809,48,5.975,0.79075,0.99903,2015
48,Bahrain,0.45492,1.32376,,0.17362,0.306,49,5.96,0.74716,1.21624,2015
49,Italy,0.26236,1.25114,,0.22823000000000002,0.02901,50,5.9479999999999995,0.9544600000000001,1.19777,2015
50,Bolivia,0.57414,0.68133,,0.20536,0.08800000000000001,51,5.89,0.5392,0.97841,2015
51,Moldova,0.32818,0.59448,,0.20951,0.01615,52,5.888999999999999,0.61826,1.01528,2015
52,Paraguay,0.53899,0.75985,,0.3424,0.08242000000000001,53,5.877999999999999,0.66098,1.30477,2015
53,Kazakhstan,0.51649,1.1225399999999999,,0.11827,0.08454,54,5.855,0.64368,1.1224100000000001,2015
54,Slovenia,0.60855,1.18498,,0.25328,0.03787,55,5.848,0.8733700000000001,1.27385,2015
55,Lithuania,0.21341999999999997,1.14723,,0.026410000000000003,0.01031,56,5.832999999999999,0.73128,1.25745,2015
56,Nicaragua,0.55475,0.59325,,0.27815,0.19317,57,5.827999999999999,0.7431399999999999,1.14184,2015
57,Peru,0.41496000000000005,0.9001899999999999,,0.14982,0.05989,58,5.824,0.73017,0.97459,2015
58,Belarus,0.37938,1.0319200000000002,,0.11045999999999999,0.1909,59,5.813,0.7360800000000001,1.23289,2015
59,Poland,0.53122,1.12555,,0.16759000000000002,0.04212,60,5.791,0.77903,1.27948,2015
60,Malaysia,0.5302399999999999,1.12486,,0.33075,0.10500999999999999,61,5.77,0.7239399999999999,1.07023,2015
61,Croatia,0.25883,1.08254,,0.054439999999999995,0.0243,62,5.7589999999999995,0.78805,0.79624,2015
62,Libya,0.41668,1.13145,,0.18295,0.11023,63,5.754,0.7038,1.1186200000000002,2015
63,Russia,0.36679,1.13764,,0.00199,0.03005,64,5.716,0.6692600000000001,1.23617,2015
64,Jamaica,0.50442,0.81038,,0.2123,0.02299,65,5.709,0.6874100000000001,1.1510200000000002,2015
65,North Cyprus,0.49027,1.2080600000000001,,0.26169000000000003,0.1428,66,5.695,0.92356,1.07008,2015
66,Cyprus,0.40671999999999997,1.20813,,0.30638000000000004,0.06146,67,5.689,0.92356,0.89318,2015
67,Algeria,0.28579,0.93929,,0.07822,0.17382999999999998,68,5.605,0.61766,1.07772,2015
68,Kosovo,0.24749000000000002,0.80148,,0.2831,0.04741,69,5.5889999999999995,0.63132,0.81198,2015
69,Turkmenistan,0.4761,0.95847,,0.16979,0.30844,70,5.547999999999999,0.53886,1.22668,2015
70,Mauritius,0.56066,1.0076100000000001,,0.37744,0.07521,71,5.477,0.7095,0.98521,2015
71,Hong Kong,0.59608,1.38604,,0.39478,0.37124,72,5.474,1.01328,1.05818,2015
72,Estonia,0.44888,1.15174,,0.0868,0.15184,73,5.428999999999999,0.77361,1.22791,2015
73,Indonesia,0.46611,0.8282700000000001,,0.51535,0.0,74,5.399,0.63793,1.0870799999999998,2015
74,Vietnam,0.59444,0.63216,,0.1686,0.10440999999999999,75,5.36,0.7467600000000001,0.9122600000000001,2015
75,Turkey,0.22815,1.06098,,0.12253,0.15746,76,5.332000000000001,0.73172,0.94632,2015
76,Kyrgyzstan,0.43477,0.47428000000000003,,0.3003,0.042319999999999997,77,5.2860000000000005,0.65088,1.15115,2015
77,Nigeria,0.34334000000000003,0.65435,,0.27233,0.0403,78,5.268,0.16007000000000002,0.9043200000000001,2015
78,Bhutan,0.5320600000000001,0.77042,,0.47998,0.15445,79,5.252999999999999,0.57407,1.10395,2015
79,Azerbaijan,0.3703,1.02389,,0.07799,0.16065,80,5.212000000000001,0.64045,0.9379299999999999,2015
80,Pakistan,0.12102,0.59543,,0.33671,0.10464000000000001,81,5.194,0.51466,0.41411000000000003,2015
81,Jordan,0.40660999999999997,0.9019799999999999,,0.11052999999999999,0.14293,82,5.192,0.69639,1.05392,2015
82,Montenegro,0.1826,0.9743799999999999,,0.1614,0.14296,82,5.192,0.72521,0.9055700000000001,2015
83,China,0.5169699999999999,0.89012,,0.08185,0.02781,84,5.14,0.81658,0.94675,2015
84,Zambia,0.48827,0.47038,,0.19591,0.12468,85,5.129,0.29924,0.91612,2015
85,Romania,0.35068,1.04345,,0.13748,0.006490000000000001,86,5.124,0.7689,0.8858799999999999,2015
86,Serbia,0.20107,0.92053,,0.19230999999999998,0.02617,87,5.122999999999999,0.74836,1.0096399999999999,2015
